,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
192,manang,MANANG_S3_P2312_R2,2024,2,221.5,402.6359803,627,2.8640197,,0,0
193,manang,MANANG_S6_P1111_R1,2023,1,191,434.32,1136.85,511.53,,0,0
194,manang,MANANG_S6_P1111_R1,2024,2,230,416.0514828,313.5,-332.5514828,,0,0
195,manang,MANANG_S1.1_P2312_R1,2023,1,213,458.82,1162.26,490.44,,0,0
196,manang,MANANG_S1.1_P2312_R1,2024,2,213,315.7692,330,-198.7692,,0,0
197,manang,MANANG_S11_P1212_R3,2023,1,213,448.4972,0,-661.4972,,0,0
198,manang,MANANG_S11_P1212_R3,2024,2,230,386.2641527,792,175.7358473,,0,0
199,manang,MANANG_S2_P1212_R1,2023,1,204.5,501.3472,565.5,-140.3472,,0,0
200,manang,MANANG_S2_P1212_R1,2024,2,230,420.2705155,561,-89.2705155,,0,0
201,manang,MANANG_S1.2_P2312_R3,2023,1,202,434.32,970.2,333.88,,0,0
202,manang,MANANG_S1.2_P2312_R3,2024,2,230,405.9979634,726,90.0020366,,0,0
203,manang,MANANG_S1.2_P1231_R3,2023,1,215.5,501.3472,450.45,-266.3972,,0,0
204,manang,MANANG_S1.2_P1231_R3,2024,2,230,380.6001286,792,181.3998714,,0,0
205,manang,MANANG_S4_P4123_R3,2023,1,202,434.32,960.3,323.98,,0,0
206,manang,MANANG_S4_P4123_R3,2024,2,193.5,189.3017,260,-122.8017,,0,0
207,manang,MANANG_S4_P2341_R1,2023,1,191,450.5,776.256,134.756,,0,0
208,manang,MANANG_S4_P2341_R1,2024,2,221.5,376.4705177,396,-201.9705176,,0,0
209,manang,MANANG_S1.3_P1231_R2,2023,1,226.5,501.3472,670.15,-57.6972,,0,0
210,manang,MANANG_S1.3_P1231_R2,2024,2,230,451.3714875,561,-120.3714875,,0,0
211,manang,MANANG_S1.1_P1231_R2,2023,1,204.5,501.3472,468,-237.8472,,0,0
212,manang,MANANG_S1.1_P1231_R2,2024,2,213,294.2692,594,86.7308,,0,0
213,manang,MANANG_S8.2_P3123_R2,2023,1,213,434.32,1170.84,523.52,,0,0
214,manang,MANANG_S8.2_P3123_R2,2024,2,193.5,210.7522,0,-404.2522,,0,0
215,manang,MANANG_S10.2_P3123_R2,2023,1,191,434.32,910.14,284.82,,0,0
216,manang,MANANG_S10.2_P3123_R2,2024,2,219,354.1849807,627,53.81501935,,0,0
217,manang,MANANG_S5_P3412_R3,2023,1,202,434.32,1146.75,510.43,,0,0
218,manang,MANANG_S5_P3412_R3,2024,2,230,386.0716228,99,-517.0716228,,0,0
219,manang,MANANG_S8.2_P3123_R3,2023,1,202,434.32,1158.96,522.64,,0,0
220,manang,MANANG_S8.2_P3123_R3,2024,2,193.5,210.7522,0,-404.2522,,0,0
221,manang,MANANG_S9_P2312_R2,2023,1,191,434.32,1065.57,440.25,,0,0
222,manang,MANANG_S9_P2312_R2,2024,2,210.5,434.5688568,1451.8,806.7311432,,0,0
223,manang,MANANG_S12_P0000_R4,2023,1,182.5,412.1,918.694,324.094,,0,0
224,manang,MANANG_S1.1_P1231_R1,2023,1,204.5,518.5972,770.9,47.8028,,0,0
225,manang,MANANG_S1.1_P1231_R1,2024,2,213,294.2692,462,-45.2692,,0,0
226,manang,MANANG_S1.1_P3123_R2,2023,1,202,458.82,1248.06,587.24,,0,0
