,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
257,hart,HART_S8_P4123_R3,2024,204.5,280.32439999999997,446.55,-38.27439999999996
258,hart,HART_S8_P4123_R3,2023,202.0,246.75835,1150.05,701.2916499999999
259,hart,HART_S4.1_P4123_R1,2024,204.5,280.32439999999997,458.9,-25.92439999999999
260,hart,HART_S4.1_P4123_R1,2023,202.0,209.25835,1064.456,653.1976499999998
261,hart,HART_S1.1_P1231_R1,2024,213.0,261.052,441.54,-32.512
262,hart,HART_S1.1_P1231_R1,2023,204.5,222.5193,1259.7,832.6807000000001
263,hart,HART_S4.2_P2341_R3,2024,221.5,275.424870683,239.47,-257.45487068299997
264,hart,HART_S4.2_P2341_R3,2023,202.0,246.75835,1148.4,699.64165
265,hart,HART_S7_P1234_R3,2024,204.5,267.7944,427.999,-44.29539999999997
266,hart,HART_S7_P1234_R3,2023,204.5,222.5193,1138.8,711.7807
267,hart,HART_S1.1_P1231_R2,2024,213.0,261.052,605.5500000000001,131.49800000000005
268,hart,HART_S1.1_P1231_R2,2023,204.5,222.5193,857.35,430.33070000000004
269,hart,HART_S1.3_P3123_R3,2024,204.5,280.3244,362.05,-122.77440000000001
270,hart,HART_S1.3_P3123_R3,2023,202.0,258.75835,1244.448,783.68965
271,hart,HART_S6_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
272,hart,HART_S7_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
273,hart,HART_S7_P3412_R2,2024,213.0,252.90329390000002,218.136,-247.76729390000003
274,hart,HART_S7_P3412_R2,2023,202.0,246.75834999999998,930.6,481.8416500000001
275,hart,HART_S2.3_BUFFER_R2,2024,11.0,38.0,0.0,-49.0
276,hart,HART_S4.2_P3412_R3,2024,213.0,217.28229034,51.852,-378.43029034
277,hart,HART_S4.2_P3412_R3,2023,213.0,236.50179999999997,190.954,-258.54779999999994
278,hart,HART_S10.2_BUFFER_R1,2024,11.0,114.0,0.0,-125.0
279,hart,HART_S5_P0000_R5,2024,204.5,276.44440000000003,0.0,-480.94440000000003
280,hart,HART_S5_P0000_R5,2023,204.5,222.5193,1068.6,641.5807
281,hart,HART_S6_P2341_R3,2024,213.0,227.60315159,345.51,-95.09315159000002
282,hart,HART_S6_P2341_R3,2023,213.0,236.50179999999997,388.128,-61.37379999999999
283,hart,HART_S10.1_P1231_R3,2024,213.0,266.395073865,280.5,-198.89507386499997
284,hart,HART_S10.1_P1231_R3,2023,204.5,227.7693,949.408,517.1387
285,hart,HART_S9_P1234_R1,2024,221.5,273.516,485.16,-9.855999999999995
286,hart,HART_S9_P1234_R1,2023,204.5,235.9362,0.0,-440.4362
287,hart,HART_S2.2_P0000_R3,2024,213.0,220.41727117500002,332.3296,-101.087671175
288,hart,HART_S2.2_P0000_R3,2023,202.0,264.25835,1299.54,833.2816499999999
289,hart,HART_S4.1_P1234_R1,2024,213.0,252.75948176,571.23,105.47051824000002
290,hart,HART_S4.1_P1234_R1,2023,204.5,222.5193,1041.3,614.2807
291,hart,HART_S5_P0000_R1,2024,204.5,276.4444,0.0,-480.9444
292,hart,HART_S5_P0000_R1,2023,204.5,222.5193,1192.75,765.7307000000001
293,hart,HART_S1.1_P1231_R3,2024,213.0,261.052,490.71,16.65799999999996
294,hart,HART_S1.1_P1231_R3,2023,204.5,222.5193,1015.3,588.2807
295,hart,HART_S4.1_BUFFER_R3,2024,11.0,152.0,0.0,-163.0
296,hart,HART_S8_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
297,hart,HART_S8_P2341_R3,2024,213.0,236.84890383,0.0,-449.84890383000004
298,hart,HART_S8_P2341_R3,2023,202.0,246.75834999999998,1128.27,679.51165
299,hart,HART_S2.1_BUFFER_R2,2024,11.0,38.0,0.0,-49.0
300,hart,HART_S10.2_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
301,hart,HART_S4.2_P2341_R2,2024,221.5,275.424870683,46.65,-450.274870683
302,hart,HART_S4.2_P2341_R2,2023,202.0,246.75835,781.77,333.01165
303,hart,HART_S1.3_P2312_R3,2024,213.0,268.85440000000006,361.176,-120.67840000000007
304,hart,HART_S1.3_P2312_R3,2023,202.0,259.75834999999995,1026.96,565.2016500000001
305,hart,HART_S10.3_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
306,hart,HART_S10.1_BUFFER_R3,2024,11.0,114.0,0.0,-125.0
307,hart,HART_S4.2_BUFFER_R3,2024,11.0,190.0,0.0,-201.0
308,hart,HART_S10.3_P3123_R2,2024,202.0,285.12695128,343.90200000000004,-143.22495127999997
