,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
1005,streatham,STREATHAM_S2.4_P1234_R3,2024,2,248.5,916.3794221014492,TBD,TBD,1840.989023594,676.1096014925507
1006,streatham,STREATHAM_S7_P3412_R2,2023,1,307.0,1275.4,TBD,TBD,2876.75,1294.35
1007,streatham,STREATHAM_S7_P3412_R2,2024,2,215.5,879.586204710145,TBD,TBD,899.07407403,-196.012130680145
1008,streatham,STREATHAM_S10_P2121_R2,2023,1,257.0,1090.88,TBD,TBD,1187.34,-160.5400000000002
1009,streatham,STREATHAM_S10_P2121_R2,2024,2,215.5,819.9151902173915,TBD,TBD,1207.6588102448,172.2436200274085
1010,streatham,STREATHAM_S2.1_P2341_R1,2023,1,307.0,1225.4,TBD,TBD,2690.772,1158.3719999999998
1011,streatham,STREATHAM_S2.1_P2341_R1,2024,2,259.5,1077.0797666666667,TBD,TBD,865.7407407000001,-470.83902596666667
1012,streatham,STREATHAM_S2.3_P3412_R2,2023,1,296.0,1414.8675999999998,TBD,TBD,1551.0,-159.8675999999998
1013,streatham,STREATHAM_S2.3_P3412_R2,2024,2,259.5,1015.9049786231884,TBD,TBD,1341.66666678,66.2616881568116
1014,streatham,STREATHAM_S2.2_P1234_R1,2023,1,292.5,1266.3500000000001,TBD,TBD,1274.94,-283.9100000000001
1015,streatham,STREATHAM_S2.2_P1234_R1,2024,2,248.5,910.4324655797102,TBD,TBD,1815.03928187,656.1068162902898
1016,streatham,STREATHAM_S13_P0000_R2,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
1017,streatham,STREATHAM_S13_P0000_R2,2024,2,185.0,1833.0,TBD,TBD,0.0,-2018.0
1018,streatham,STREATHAM_S6.1_P3123_R1,2023,1,296.0,1399.8675999999998,TBD,TBD,1655.61,-40.25759999999991
1019,streatham,STREATHAM_S6.1_P3123_R1,2024,2,218.0,646.475,TBD,TBD,0.0,-864.475
1020,streatham,STREATHAM_S11_P0000_R9,2023,1,292.5,1225.4225,TBD,TBD,1590.15,72.22750000000019
1021,streatham,STREATHAM_S6.1_P2312_R2,2023,1,307.0,1275.4,TBD,TBD,2592.496,1010.096
1022,streatham,STREATHAM_S6.1_P2312_R2,2024,2,215.5,926.8369873188406,TBD,TBD,844.4444444700001,-297.89254284884043
1023,streatham,STREATHAM_S7_P1234_R2,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
1024,streatham,STREATHAM_S7_P1234_R2,2024,2,185.0,611.0,TBD,TBD,0.0,-796.0
1025,streatham,STREATHAM_S1.2_P1212_R1,2023,1,307.0,1275.4,TBD,TBD,2713.786,1131.386
1026,streatham,STREATHAM_S1.2_P1212_R1,2024,2,240.0,861.0076,TBD,TBD,1084.25925927,-16.748340729999995
1027,streatham,STREATHAM_S8_P1231_R3,2023,1,248.5,994.926,TBD,TBD,0.0,-1243.426
1028,streatham,STREATHAM_S8_P1231_R3,2024,2,215.5,767.276393115942,TBD,TBD,2056.961245678,1074.184852562058
1029,streatham,STREATHAM_S4_P2312_R3,2023,1,307.0,1275.4,TBD,TBD,2594.984,1012.5839999999998
1030,streatham,STREATHAM_S4_P2312_R3,2024,2,215.5,885.3147844202899,TBD,TBD,806.70362916,-294.11115526028993
1031,streatham,STREATHAM_S4_P3123_R1,2023,1,296.0,1399.8675999999998,TBD,TBD,1813.35,117.4824000000001
1032,streatham,STREATHAM_S4_P3123_R1,2024,2,196.0,635.0,TBD,TBD,0.0,-831.0
1033,streatham,STREATHAM_S2.1_P3412_R2,2023,1,296.0,1352.3675999999998,TBD,TBD,1874.73,226.3624000000002
1034,streatham,STREATHAM_S2.1_P3412_R2,2024,2,259.5,1084.7268101449276,TBD,TBD,1499.99999985,155.77318970507235
1035,streatham,STREATHAM_S1.3_P2121_R3,2023,1,296.0,1414.8675999999998,TBD,TBD,1439.13,-271.7375999999997
1036,streatham,STREATHAM_S1.3_P2121_R3,2024,2,262.0,811.5450000000001,TBD,TBD,1762.612007164,689.067007164
1037,streatham,STREATHAM_S10_P1212_R3,2023,1,276.5,1123.95,TBD,TBD,2833.832,1433.3819999999998
1038,streatham,STREATHAM_S10_P1212_R3,2024,2,193.5,822.5826974637681,TBD,TBD,371.47177419,-644.6109232737681
1039,streatham,STREATHAM_S3_P2341_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1948.65,252.78240000000028
1040,streatham,STREATHAM_S3_P2341_R3,2024,2,215.5,798.0360163043479,TBD,TBD,1947.233422676,933.697406371652
1041,streatham,STREATHAM_S2.1_P1234_R2,2023,1,292.5,1266.3500000000001,TBD,TBD,1185.84,-373.0100000000002
1042,streatham,STREATHAM_S2.1_P1234_R2,2024,2,248.5,825.027963768116,TBD,TBD,1633.535353372,560.0073896038839
1043,streatham,STREATHAM_S2.3_P3412_R1,2023,1,296.0,1414.8675999999998,TBD,TBD,1283.37,-427.4975999999999
1044,streatham,STREATHAM_S2.3_P3412_R1,2024,2,259.5,1015.9049786231884,TBD,TBD,534.25925916,-741.1457194631884
1045,streatham,STREATHAM_S9.2_P1212_R3,2023,1,276.5,1123.95,TBD,TBD,0.0,-1400.45
1046,streatham,STREATHAM_S9.2_P1212_R3,2024,2,215.5,877.973509057971,TBD,TBD,975.80645151,-117.66705754797101
1047,streatham,STREATHAM_S11_P0000_R8,2023,1,292.5,1225.4225,TBD,TBD,1546.92,28.997500000000173
1048,streatham,STREATHAM_S12_P0000_R8,2023,1,296.0,1399.8675999999998,TBD,TBD,1762.2,66.33240000000023
1049,streatham,STREATHAM_S2.3_P2341_R2,2023,1,279.0,1185.3999999999999,TBD,TBD,2520.344,1055.9440000000002
1050,streatham,STREATHAM_S2.3_P2341_R2,2024,2,248.5,1078.3927757246377,TBD,TBD,919.44444438,-407.4483313446376
1051,streatham,STREATHAM_S13_P0000_R9,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
1052,streatham,STREATHAM_S8_P2312_R2,2023,1,307.0,1275.4,TBD,TBD,2795.268,1212.868
1053,streatham,STREATHAM_S8_P2312_R2,2024,2,215.5,889.8746394927537,TBD,TBD,933.33333324,-172.04130625275366
1054,streatham,STREATHAM_S1.4_P2121_R3,2023,1,296.0,1442.3675999999998,TBD,TBD,1623.6,-114.7675999999999
1055,streatham,STREATHAM_S1.4_P2121_R3,2024,2,248.5,903.0347554347826,TBD,TBD,2241.58266119,1090.0479057552175
1056,streatham,STREATHAM_S1.2_P1212_R3,2023,1,307.0,1275.4,TBD,TBD,2361.734,779.3339999999998
1057,streatham,STREATHAM_S1.2_P1212_R3,2024,2,240.0,861.0076,TBD,TBD,856.6028225700001,-244.40477742999997
1058,streatham,STREATHAM_S9.1_P2121_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1657.59,-38.27759999999989
1059,streatham,STREATHAM_S9.1_P2121_R3,2024,2,207.0,654.1,TBD,TBD,1834.02217762,972.9221776200001
1060,streatham,STREATHAM_S6.2_P3123_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1474.11,-221.7575999999999
1061,streatham,STREATHAM_S6.2_P3123_R3,2024,2,218.0,646.475,TBD,TBD,0.0,-864.475
1062,streatham,STREATHAM_S2.3_P1234_R2,2023,1,270.5,1200.1524999999997,TBD,TBD,1016.28,-454.3724999999997
1063,streatham,STREATHAM_S2.3_P1234_R2,2023,2,281.5,1000.5082771739131,TBD,TBD,1582.923681116,300.91540394208675
1064,streatham,STREATHAM_S6.1_P1231_R1,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
1065,streatham,STREATHAM_S6.1_P1231_R1,2024,2,226.5,925.4431177536233,TBD,TBD,1450.286195504,298.3430777503768
1066,streatham,STREATHAM_S8_P1231_R1,2023,1,248.5,994.926,TBD,TBD,0.0,-1243.426
1067,streatham,STREATHAM_S8_P1231_R1,2024,2,215.5,767.276393115942,TBD,TBD,1930.22446694,947.4480738240579
1068,streatham,STREATHAM_S2.3_P2341_R3,2023,1,279.0,1185.3999999999999,TBD,TBD,2390.346,925.9460000000001
1069,streatham,STREATHAM_S2.3_P2341_R3,2024,2,248.5,1078.3927757246377,TBD,TBD,974.88239244,-352.01038328463767
1070,streatham,STREATHAM_S1.3_P1212_R3,2023,1,279.0,1160.3999999999999,TBD,TBD,1109.648,-329.75199999999995
1071,streatham,STREATHAM_S1.3_P1212_R3,2024,2,240.0,831.6825999999999,TBD,TBD,1021.08534957,-50.59725042999992
1072,streatham,STREATHAM_S6.2_P2312_R2,2023,1,307.0,1275.4,TBD,TBD,2568.86,986.46
1073,streatham,STREATHAM_S6.2_P2312_R2,2024,2,215.5,889.1400597826088,TBD,TBD,899.99999991,-204.64005987260873
1074,streatham,STREATHAM_S6.1_P3123_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1903.11,207.2424000000001
1075,streatham,STREATHAM_S6.1_P3123_R3,2024,2,218.0,646.475,TBD,TBD,0.0,-864.475
1076,streatham,STREATHAM_S9.2_P2121_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1341.78,-354.08759999999984
1077,streatham,STREATHAM_S9.2_P2121_R3,2024,2,215.5,725.0014067028986,TBD,TBD,0.0,-940.5014067028986
1078,streatham,STREATHAM_S7_P2341_R3,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
1079,streatham,STREATHAM_S7_P2341_R3,2024,2,215.5,815.4328278985507,TBD,TBD,1099.019937004,68.08710910544926
1080,streatham,STREATHAM_S2.2_P2341_R3,2023,1,307.0,1275.4,TBD,TBD,2703.834,1121.4339999999997
1081,streatham,STREATHAM_S2.2_P2341_R3,2024,2,259.5,1111.250761231884,TBD,TBD,911.12231199,-459.62844924188414
1082,streatham,STREATHAM_S2.4_P4123_R1,2023,1,296.0,1442.3675999999998,TBD,TBD,1934.46,196.09240000000023
1083,streatham,STREATHAM_S2.4_P4123_R1,2024,2,240.0,836.633,TBD,TBD,1645.45454538,568.8215453799999
1084,streatham,STREATHAM_S1.4_P2121_R2,2023,1,296.0,1442.3675999999998,TBD,TBD,1754.61,16.24240000000009
1085,streatham,STREATHAM_S1.4_P2121_R2,2024,2,248.5,903.0347554347826,TBD,TBD,2089.040404298,937.5056488632173
1086,streatham,STREATHAM_S11_P0000_R7,2023,1,292.5,1225.4225,TBD,TBD,1477.62,-40.30250000000001
